"Data Source","World Development Indicators",

"Last Updated Date","2024-02-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2756.57332354643","2473.87354790732","1490.35193668474","1438.58850813848","1587.04298834687","1758.67355702797","1909.64268102564","2023.94715018545","2217.0578535948","2347.50209987159","2572.4208203298","2915.45578555773","3382.06032385789","3958.32998572176","4518.26274645491","5339.90170201023","6274.02820664947","7380.23153964858","8097.3050071749","7045.33072468128","7331.38650353822","7881.77173468477","9267.39700562965","9822.94744066856","10114.93983675","10132.318975243","10966.8533270074","12509.6396064818","13549.5224245895","14924.776928318","14105.9112525331","15676.3282908496","18965.727568415",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12880.5511999373","13540.5492561906","13787.47976733","14594.2959398031","15607.6720619553","14944.7957874133","15898.1157440955","16717.0522354267","17374.6863760041","17963.6381321169","19189.4483202303","18444.3152986474","18683.9883960014","19982.6865843469","21464.3654261776","23296.7240269624","26724.1972976173","29593.0803504902","29708.9717535717","25923.1120268421","23850.1402677498","23584.2714499711","22350.4932824863","21806.3920194394","21788.6401028276","21162.092794509","21558.9954266263","21672.0448949248","23604.836955921","24641.2293534997","20130.1690538752","22622.1761177229","26365.468976483",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17380.8816876752","17835.3580774279","18253.5816346613","19215.9605874947","20170.5253980883","21038.6667853022","22132.1929034356","23124.9639117233","24378.2453109245","25485.39144594","26541.6653208437","27645.8348537519","29032.4909555888","30121.8184177337","31763.7728186005","33036.5834770249","34846.7156302418","36653.8417179443","37532.9990434133","40312.3951186945","39374.6059179281","42025.4645815618","42866.6043295085","45936.049310436","46914.3867078836","46292.0954391179","47289.2859136343","48418.558421681","50251.3353381469","52011.5191125621","53216.4685369712","56180.9847517007","63216.149216392",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19473.0819594859","20617.5829787127","21293.2648588333","21732.8710942007","22642.8477256733","23698.109130502","24560.6240085942","25426.662812476","26675.6502354234","27606.4830303088","29381.6848770115","29708.49357024","31178.6933297272","32145.8705108106","33774.0180945488","35013.7140443423","37659.732973109","39435.60573762","41316.225176699","40918.5200993586","42007.2937461255","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49865.9039424185","52684.0171130768","54172.9867888254","56937.944282984","59700.8636302637","57235.5458694937","59828.8828123844","67874.9048844099",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5253.44660826408","5321.81099375037","4149.74660557513","3217.65149470211","2603.60192877256","2317.59069546393","2366.63815438445","2522.62837120686","2779.61552655268","3000.92505671238","3381.66620983258","3770.85228711686","4159.94056320335","4639.79442615882","5159.85941090733","6740.4240629969","9243.49764554313","11732.8414907335","12969.2003782405","13972.5947839401","14678.7737395302","14804.5744507911","15957.7188502849","17188.9455056612","17443.8782563094","14938.4011276715","14371.0227410092","14121.4069355591","14551.2001141105","15054.544606509","14495.6569721312","15927.2101484962","17828.6083929734",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609.371647541677","648.330867116989","652.512222508418","647.477043592149","632.424953909955","559.836299430181","524.681068398009","525.83172726084","546.719839805259","535.962337056464","532.425919852103","542.030190166285","559.112337329033","545.775539314511","566.091631453863","567.700700411859","595.205565689488","609.593595544823","625.243739608448","620.896733786154","630.358192954177","646.103127483227","651.952327282116","696.497000211236","728.870060256426","797.05011411535","766.587220607525","750.787616270977","758.249031649132","760.604126124997","751.200911855438","787.942778727228","836.464567494017",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18688.6467366551","19601.8239024872","20272.9885926744","20473.7868382439","21519.3380677459","22447.4638004465","22744.6996622345","23732.2210706898","24369.4867183382","25440.8411888638","27789.9435461287","28793.6110538361","30282.2886450283","30934.4414026198","32063.2607941715","33177.8909458158","35256.9283814906","36795.8471504369","37883.3319417819","37749.9091897753","39838.040511042","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46200.904454307","48597.3999826201","50442.2705419624","52530.5620821347","55804.8305813929","54679.1418047701","59508.6738695093","65478.4469522084",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220.21458185828","1275.135741128","1302.24047956983","1349.49034534688","1354.59080377176","1436.73762604785","1487.59807779095","1554.14549343527","1584.96540576118","1642.173164791","1724.54671037395","1802.32459760145","1858.76676518554","1902.50292259119","1979.29289911841","2011.39667736316","2090.28425488276","2210.7927096781","2294.86987751056","2294.60279263052","2302.6877910018","2350.35645152303","2427.43265922317","2590.92504537631","2745.85861163361","2792.60964526702","2901.26467091701","2933.83738431719","3113.25475826838","3290.30700011152","3364.9730117672","3665.19380352655","4057.45175503911",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568.630146341943","625.178195411171","625.322827184169","646.047073403215","651.879799348004","685.788688392577","755.708141447607","796.589149193638","840.984430760182","889.501251044902","899.584820546202","951.314407021718","977.668518493994","1041.89856330638","1083.24931305826","1176.3572973137","1248.87304213661","1295.4671174055","1356.37219555766","1364.89564531445","1454.57874744176","1536.80894422349","1568.0668585351","1629.31783621598","1637.92805098986","1657.91610692212","1833.43305343067","1978.15501161376","2100.53092354319","2195.35561873689","2206.61225205539","2401.22808557494","2549.93498181033",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","979.948003398134","1028.28858968046","1088.74013680047","1144.9708324815","1191.835185165","1255.4876300849","1313.07393808981","1370.95971758003","1431.06189688341","1490.19028013653","1574.3315699744","1659.71135589897","1717.97006163024","1803.13815309616","1916.45203801677","2074.01158534209","2253.20981719788","2451.5422131243","2625.40635930662","2751.21787760065","2906.05192045574","3119.92997299708","3493.9228210851","3734.72565106496","3997.28670060872","4216.71973918632","4558.56389477538","4830.77629051855","5247.69469583125","5699.07813423519","5904.56736266229","6522.55582642865","7397.54573714685",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7551.09645087036","7218.31271832827","6919.81599636873","7034.87467814325","7340.6103887074","7743.44322933175","6848.99369971199","5750.51171536098","6177.94084712058","5807.79182219793","6422.83277066238","6960.08330374242","7786.4484224601","8417.38546012655","9201.56567500039","10291.4238650414","11406.4566174326","12820.7483058601","14346.8298321874","14181.8878737662","14958.2722802756","15747.3923747037","16327.1287624967","16649.2524877461","17616.3879467033","18386.1125327046","20065.4793414331","21458.0493617274","23006.0810607692","25158.9222661578","25096.7049131156","27975.1743033861","33845.5763515178",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25731.1649187926","28594.0918342748","30129.9623716511","33643.6304591696","33149.5742476964","34045.3942781628","34962.9567076082","35548.6561420837","36559.2764541062","37570.9167849775","39360.4320898099","40186.9453085917","41161.5625780613","42900.8133510832","44006.7127561133","44780.1156664312","45651.591942431","47380.1664464359","48078.8438742404","46708.7358567087","47929.443463014","49960.2678680839","53778.4886740831","53672.1042194471","52073.9846164495","45900.7030253586","45281.3019203255","48929.4470119951","50114.1503913545","51879.7363438765","50682.7595647482","54901.512628498","61248.1801285972",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20525.4533836103","19936.0442553921","19198.9491919612","19290.9732214977","19920.1234902522","20834.566128494","21722.0500051927","22003.2206335061","22914.2522233664","24518.3605022664","25732.9965006504","26625.89831464","27408.4499964747","27229.956414693","27829.5248446479","29274.6456939742","30511.0520850914","31344.1962349777","30761.9272227029","29242.2905183157","29629.2525061559","30053.6711228981","30723.1730198362","29911.9168395845","31255.387707412","31746.8033825774","32112.2038931048","34067.8461834433","35647.1369697242","35780.7596716952","27595.9694509426","33614.7395177735","40942.7767235251",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943.249473725338","1166.99943300097","2155.16460749926","2844.360968683","3270.70034489485","3601.98149973204","4127.63808651098","4290.62576157003","4653.1316468785","4911.65996395048","5405.60880256589","5959.02483138061","6878.32274651523","7696.11017208575","8595.78135704684","8698.91141920379","9089.08917869408","9757.99152824532","10109.3160983809","10788.2000073368","11148.3878335826","11826.0782621866","12869.6625492568","13582.2669822916","14801.3225273827","16118.5058181414","15871.6069425778","17484.9027690438","19990.8134862428",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5226.13965233312","5335.57879898518","4922.45721730488","4645.89357206881","4194.8810953782","3849.89723219723","4043.74990337195","4601.50308515664","5066.94283398841","5337.01584071637","5801.75812617707","6244.74774348393","6704.59228079556","7369.84590437492","8491.89483353234","9647.12117983096","11006.4559016421","12332.5029152685","13898.9996761756","14050.5715546692","15361.8316988786","16563.2014078209","18105.2867180444","18994.1901887616","19007.9973242876","18095.7034185545","17785.9431970966","18356.0660575514","19430.9092097721","20106.0689126376","20317.231920485","21928.6857574651","22550.6404444662",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4460.73621604894","5047.70323544695","5702.91908786707","6072.68153499041","6068.63737687779","6083.62002659875","6075.91280199703","6226.48898461562","6315.11527870532","6771.94093597709","7524.97756121552","7828.20660010823","8121.27715688497","8806.39760894338","9192.02833346928","9405.61662239633","9840.06527936784","10142.569109727","9895.0895036482","9645.41376668047","9638.91782892844","9588.60890907548","9096.72890258378","9278.691133596","9191.04275988395","9250.63950773823","9088.98734726424","8798.69905704344","8929.62453849722","9303.71800317986","8010.94498292588","9740.0709476213","11189.8640824336",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34870.7477537551","34955.5582770959","35990.578111392","37749.2083732918","38518.4174421737","40763.3866085376","42317.9241727648","44753.9587284979","46678.6017993544","48664.5399508505","53921.7736769822","58484.1524018877","58138.3998128493","60908.0397060905","63578.1922805251","66239.4667912365","71656.7235772631","75627.2475293548","75193.3463873599","71022.3078466874","70627.8221941123","69998.8434204712","67453.8205236015","68993.2274876771","68775.4467426718","71873.2280578182","76362.0514142141","81834.9558735543","83380.8749006674","85145.9436381068","80381.4454933195","86699.2519910027","95868.7802623325",
